"id","name","bikes_count","terminal_id"
520,"Blenheim Crescent, Ladbroke Grove",14,300090
521,"Clements Road, Bermondsey",14,200216
522,"Pindar Street, Liverpool Street",14,1084
523,"Prince Albert Road, The Regent's Park",14,2636
524,"Austin Road, Battersea Park",14,300013
525,"Harcourt Terrace, West Brompton",14,300069
526,"Orbel Street, Battersea",14,200114
527,"De Vere Gardens, Kensington",14,3446
528,"Hatton Garden, Holborn",14,985
529,"Ackroyd Drive, Bow",14,200038
530,"Broomhouse Lane, Parsons Green",14,200040
531,"Eaton Square (South), Belgravia",14,22164
532,"London Zoo,  The Regent's Park",14,1136
533,"Dickens Square, Borough",14,1208
534,"Kingsway Southbound, Strand",14,200226
535,"Crosswall, Tower",14,991
536,"Brushfield Street, Liverpool Street",14,1161
537,"Ashmole Estate, Oval",14,200223
538,"Saunders Ness Road, Cubitt Town",14,200022
539,"Lambeth Palace Road, Waterloo",14,300231
540,"BBC White City, White City",14,200136
541,"Wright's Lane, Kensington",14,1094
542,"Wells Street, Fitzrovia",14,3495
543,"Strata, Elephant & Castle",14,10624
544,"Kennington Cross, Kennington",14,1093
545,"The Guildhall, Guildhall",15,1044
546,"Lower Marsh, Waterloo",15,1219
547,"East Ferry Road, Cubitt Town",15,200031
548,"Portman Square, Marylebone",15,200008
549,"Lisson Grove, St. John's Wood",15,1030
550,"Harris Academy, Bermondsey",15,300004
551,"Eccleston Place, Victoria",15,3465
552,"Hansard Mews, Holland Park",15,200154
553,"Malmesbury Road, Bow",15,200019
554,"Sandilands Road, Walham Green",15,300001
555,"Monument Street, Monument",15,200101
556,"Norton Folgate, Liverpool Street",15,1068
557,"Montserrat Road , Putney",15,200205
558,"Old Ford Road, Bethnal Green",15,22173
559,"Temple Gardens, Temple",15,300250
560,"Lollard Street, Vauxhall",15,998
561,"Harriet Street, Knightsbridge",15,2681
562,"Imperial Wharf Station, Sands End",15,300070
563,"Aston Street, Stepney",15,200013
564,"Greenberry Street, St.John's Wood",15,200236
